2017.09.28 14:06:50 INFO  es[][o.s.p.ProcessEntryPoint] Starting es
2017.09.28 14:06:51 INFO  es[][o.s.s.EsSettings] Elasticsearch listening on /127.0.0.1:9001
2017.09.28 14:06:51 INFO  es[][o.elasticsearch.node] [sonarqube] version[2.4.4], pid[9576], build[fcbb46d/2017-01-03T11:33:16Z]
2017.09.28 14:06:51 INFO  es[][o.elasticsearch.node] [sonarqube] initializing ...
2017.09.28 14:06:51 INFO  es[][o.e.plugins] [sonarqube] modules [], plugins [], sites []
2017.09.28 14:06:51 INFO  es[][o.elasticsearch.env] [sonarqube] using [1] data paths, mounts [[Local Disk (C:)]], net usable_space [180.4gb], net total_space [237.2gb], spins? [unknown], types [NTFS]
2017.09.28 14:06:51 INFO  es[][o.elasticsearch.env] [sonarqube] heap size [990.7mb], compressed ordinary object pointers [true]
2017.09.28 14:06:54 INFO  es[][o.elasticsearch.node] [sonarqube] initialized
2017.09.28 14:06:54 INFO  es[][o.elasticsearch.node] [sonarqube] starting ...
2017.09.28 14:06:54 INFO  es[][o.e.transport] [sonarqube] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2017.09.28 14:06:54 INFO  es[][o.e.discovery] [sonarqube] sonarqube/DkVlFy6ATCe711fLtBbtnw
2017.09.28 14:06:58 INFO  es[][o.e.cluster.service] [sonarqube] new_master {sonarqube}{DkVlFy6ATCe711fLtBbtnw}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube, master=true}, reason: zen-disco-join(elected_as_master, [0] joins received)
2017.09.28 14:06:58 INFO  es[][o.elasticsearch.node] [sonarqube] started
2017.09.28 14:06:58 INFO  es[][o.e.gateway] [sonarqube] recovered [0] indices into cluster_state
2017.09.28 14:07:12 INFO  es[][o.e.cluster.metadata] [sonarqube] [components] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.09.28 14:07:13 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][4]] ...]).
2017.09.28 14:07:14 INFO  es[][o.e.cluster.metadata] [sonarqube] [components] create_mapping [component]
2017.09.28 14:07:14 INFO  es[][o.e.cluster.metadata] [sonarqube] [components] create_mapping [authorization]
2017.09.28 14:07:14 INFO  es[][o.e.cluster.metadata] [sonarqube] [tests] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.09.28 14:07:14 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[tests][4]] ...]).
2017.09.28 14:07:14 INFO  es[][o.e.cluster.metadata] [sonarqube] [tests] create_mapping [test]
2017.09.28 14:07:14 INFO  es[][o.e.cluster.metadata] [sonarqube] [projectmeasures] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.09.28 14:07:15 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[projectmeasures][4]] ...]).
2017.09.28 14:07:15 INFO  es[][o.e.cluster.metadata] [sonarqube] [projectmeasures] create_mapping [projectmeasure]
2017.09.28 14:07:15 INFO  es[][o.e.cluster.metadata] [sonarqube] [projectmeasures] create_mapping [authorization]
2017.09.28 14:07:15 INFO  es[][o.e.cluster.metadata] [sonarqube] [rules] creating index, cause [api], templates [], shards [2]/[0], mappings []
2017.09.28 14:07:15 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[rules][0], [rules][0]] ...]).
2017.09.28 14:07:15 INFO  es[][o.e.cluster.metadata] [sonarqube] [rules] create_mapping [activeRule]
2017.09.28 14:07:15 INFO  es[][o.e.cluster.metadata] [sonarqube] [rules] create_mapping [ruleExtension]
2017.09.28 14:07:15 INFO  es[][o.e.cluster.metadata] [sonarqube] [rules] create_mapping [rule]
2017.09.28 14:07:15 INFO  es[][o.e.cluster.metadata] [sonarqube] [issues] creating index, cause [api], templates [], shards [5]/[0], mappings []
2017.09.28 14:07:16 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[issues][4]] ...]).
2017.09.28 14:07:16 INFO  es[][o.e.cluster.metadata] [sonarqube] [issues] create_mapping [issue]
2017.09.28 14:07:16 INFO  es[][o.e.cluster.metadata] [sonarqube] [issues] create_mapping [authorization]
2017.09.28 14:07:16 INFO  es[][o.e.cluster.metadata] [sonarqube] [users] creating index, cause [api], templates [], shards [1]/[0], mappings []
2017.09.28 14:07:16 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[users][0]] ...]).
2017.09.28 14:07:16 INFO  es[][o.e.cluster.metadata] [sonarqube] [users] create_mapping [user]
2017.09.28 14:07:16 INFO  es[][o.e.cluster.metadata] [sonarqube] [views] creating index, cause [api], templates [], shards [5]/[0], mappings []
